items,users,damping,MAE
True,True,0.7632925115864152,0.7477532574945027
True,True,0.2995301386553929,0.7472082234590165
False,False,0.6419550491667957,0.7397411973703452
True,False,0.5900397767599559,0.7482764370768992
False,True,0.022889937743149735,0.7500459049541135
False,False,0.9142856449741381,0.7480364018013872
False,True,0.35100559319390023,0.7373581383114426
False,False,0.5393021126501584,0.7421603325242625
False,True,0.6121986928757835,0.7433588990280601
True,True,0.4355634860208194,0.743176716684505
False,True,0.07781973672139686,0.7469540566376219
True,False,0.7075942280517733,0.7437303732778677
True,True,0.13537327645129682,0.7416870883808242
False,True,0.5336894780220709,0.741746981402307
False,True,0.5662340345238386,0.746933706513398
True,True,0.8621526392465856,0.7420528741578892
True,True,0.48610609458809617,0.740798670910489
True,False,0.6579640630201375,0.7463491267249844
True,True,0.9016463241049019,0.7504792556508497
True,True,0.7508868588256675,0.7455749164287759
False,False,0.3679156243424805,0.7439689617423187
False,False,0.25842388034750835,0.7461680917493764
False,False,0.21749112251586517,0.7412130969190809
False,False,0.9936550432353148,0.7369359480135004
False,False,0.9971326790725532,0.7446862459047328
False,False,0.366822790248852,0.7367174836193039
False,False,0.17711979880497103,0.7409923531553483
False,False,0.3803712759450128,0.7459667721070358
False,False,0.8084946831286426,0.7475332374798672
False,False,0.4449178433865552,0.7447196934742918
False,False,0.29963336475299224,0.7378070825232501
False,False,0.020383075076407853,0.7448419141487705
False,False,0.12107793795387917,0.7446204127121078
False,False,0.45830838220839093,0.7490877535411304
False,False,0.9801092630093282,0.7438551138650973
False,False,0.3029448911572252,0.7520922973150829
False,False,0.6643485395047828,0.7446971755636791
False,False,0.39209871858074946,0.7403007176996207
False,False,0.7976520559271875,0.7413153525925442
False,False,0.2392903851201949,0.7496353995517614
False,False,0.5936135698889764,0.746058198854542
False,False,0.33221393826354473,0.7459309945806398
True,False,0.06980707888460508,0.7493302524764186
False,False,0.5285956456758492,0.7465188196497449
False,False,0.7039262246694986,0.7486104773349103
True,False,0.9561730148471944,0.746600570344961
False,True,0.4021330760017028,0.7430021237213149
False,False,0.49636327807927144,0.7473762834218267
True,True,0.849827599231282,0.7501619816048093
False,False,0.19085275196349283,0.7427816681921124
True,False,0.7078635630000714,0.7475954818027629
False,True,0.5599901130314083,0.7399122698370122
False,False,0.6399130332711114,0.7404583484359515
True,True,0.2628014128707481,0.7429126433024184
False,False,0.338605664315467,0.7481782695905652
False,False,0.08449505769295962,0.7483214526437871
False,True,0.9015912385700116,0.7405633728623018
True,False,0.42014754510121477,0.7490426190432136
False,False,0.7498449396525984,0.7484315870564303
False,False,0.16890381302499297,0.7388150380218451
True,True,0.5278515835067895,0.7462884840669912
False,False,0.4708990478295738,0.7448805726278043
False,False,0.6170047492561488,0.7479451566091098
False,True,0.9325621333323054,0.7439941824196278
False,False,0.0009517900677487034,0.7406820538997074
False,True,0.33952027006674845,0.746854276201644
False,True,0.2801506060672589,0.7448711351481044
False,True,0.20795922897938202,0.7417135713479981
False,True,0.1502157701191058,0.7487338683758357
False,True,0.4356458614188002,0.7446199875983842
False,True,0.36146876462344507,0.744092528581961
False,True,0.23449067761768883,0.7514059180987988
False,True,0.10083800833424966,0.7540144946712919
False,True,0.5613774135209667,0.7443487243989603
False,True,0.3107213488445788,0.7444311921866476
False,False,0.047207842849062875,0.7433132207432367
True,False,0.506489555757926,0.7422587940084319
False,True,0.36280094113276795,0.7480431941697976
False,False,0.4110097175243622,0.7390660134407744
False,False,0.27334817084227914,0.745626161665571
False,True,0.46512485910512974,0.746171405583526
True,False,0.5886355695104797,0.7352890871416429
True,False,0.8448203214523038,0.7416205823353816
True,False,0.7799115170894119,0.7444417497481515
True,False,0.7190090761028018,0.7453503668156133
True,False,0.6710013338664634,0.7463297684068256
True,False,0.591193556109439,0.7413319350759713
True,False,0.869718707877101,0.7464444792947578
True,False,0.9852101594429372,0.744606814683917
True,False,0.6133967028495539,0.7471616022487669
True,False,0.9524615989752635,0.7447462590836258
True,False,0.3879004416060317,0.7528355502363576
True,False,0.8199788880725942,0.7430643365777435
True,False,0.6435784181225386,0.7415764998686132
True,False,0.7425757679443978,0.7439940714789846
True,False,0.885550269236419,0.7434945122111568
True,False,0.6760036314242838,0.7463015947733016
True,False,0.500846284554816,0.7418091066779294
True,False,0.24923026783138696,0.744388146184564
False,False,0.5478690059490786,0.7529304157556956
