items,users,damping,MRR
True,False,0.48753398689970673,0.03561845989402783
True,True,0.8532966039310298,0.05533702753937216
False,True,0.727875823155986,0.048201706915034184
False,True,0.26479131555589663,0.03288442994064367
True,True,0.4870269102400625,0.036354828056720724
True,True,0.887894002042461,0.057265112361645096
False,False,0.9797392903911311,0.05626751956448979
True,True,0.2663292284741057,0.03319669150668748
True,True,0.8039946478159926,0.05445293108709961
False,False,0.31471543855923667,0.03461071274077351
False,True,0.187522746549887,0.03138074845448213
True,True,0.5848573050760444,0.042740237060722545
False,False,0.7681152907157422,0.04891313356136109
False,False,0.8809157977828953,0.05357353678390749
True,False,0.4909893701133148,0.03551170754953378
False,True,0.6802902443385459,0.04610057602629031
True,False,0.33046882480830453,0.03564346196588346
False,True,0.08024342509057347,0.03218195112379864
False,True,0.79241184658941,0.0537561933415554
False,False,0.5892357153633838,0.04457020170197223
True,False,0.9584321300618082,0.05607671001271433
True,False,0.9398703170022336,0.05536945508585686
False,False,0.9863051519824504,0.05667140791355526
True,False,0.9873190105258502,0.058540023396502175
True,True,0.669943311726231,0.04801082728180845
True,False,0.879806381789346,0.05470618644466284
True,False,0.6125614542322012,0.045799215441104185
True,True,0.017230860832425976,0.0300267214335343
True,False,0.41910367613662913,0.03546713819232472
True,True,0.904540004770845,0.05681578074418837
True,False,0.9984345299441838,0.05958948225792241
True,False,0.8180414821501503,0.05665567162322288
True,False,0.7258796692300635,0.051296709581661507
True,False,0.9896126544085871,0.05583337870636064
True,False,0.40296950461094616,0.034982564621170255
True,False,0.7342194118787742,0.05311479984770032
True,False,0.8503965518123551,0.05473551617575043
True,False,0.16692279987205072,0.03257460141490621
True,False,0.6383085634280671,0.04926191843498681
True,False,0.9218769215692022,0.05648329701620899
True,False,0.8299180552148855,0.05425600529777321
True,False,0.43781813421651883,0.033882484576257685
True,False,0.5454583082713975,0.03914590417954225
True,False,0.5365553364831391,0.03527943382063438
True,False,0.7303543351874363,0.05154675907407749
True,False,0.7629044482764483,0.04859959084379736
False,False,0.9921275429162437,0.057133415047212074
True,False,0.36150495422833784,0.034087158635410335
False,True,0.22066342628677593,0.03321365491126221
True,False,0.874535404935734,0.05452272653343562
True,False,0.68633176468691,0.04671768518918472
False,True,0.9515866368434127,0.05849003861800416
True,False,0.8002595111117616,0.053955044686730326
False,False,0.9063304695888337,0.05649299748985688
True,True,0.9990463451555273,0.05577620254926633
True,False,0.10565730337237333,0.03177250034062988
False,False,0.5457957850708696,0.038732690556060906
True,True,0.259192761120578,0.032840807476974564
True,False,0.7717110162173327,0.053000442539646614
True,False,0.6439112093240694,0.05109992074835644
False,True,0.858093301287278,0.054269240061653345
True,False,0.9558334856364956,0.056357345490966104
True,False,0.8397246356154666,0.05617408299970695
False,True,0.47845750856281377,0.03532749694710916
True,False,0.5839582131065082,0.041177589971134826
False,True,0.9465115007264393,0.05669363710469951
False,True,0.9656582062493966,0.05578071859194943
False,True,0.9086482664251557,0.0586206312017171
False,True,0.9096079838856113,0.05564370392796105
False,True,0.9318524147865024,0.05579321548711162
False,True,0.7668458461599196,0.05152944022984899
False,True,0.6875969306726997,0.05142194526879818
False,True,0.881630671100445,0.052259677049388574
False,True,0.9998570105794824,0.056439602604282844
False,True,0.8150989760859256,0.05762390692309809
False,True,0.7112480912546797,0.04995594033562549
True,False,0.8526268347193396,0.05470389932067104
True,False,0.7964136497397771,0.054083137072090524
True,True,0.9743398705415435,0.05447102922051322
False,False,0.8962314362959992,0.053172265650736586
True,False,0.6528305096562113,0.0488946054827344
True,True,0.60082064222815,0.04389878451467132
False,False,0.7056756360432301,0.048662341728642484
True,False,0.7502295363746552,0.05201522958181621
True,True,0.9230037835275412,0.05495466274181496
False,False,0.8749306615633059,0.05380553352243856
True,False,0.3133067393749567,0.03264502657888737
True,True,0.13662068783788894,0.03283969719385294
False,False,0.5137684709831829,0.03404970842534683
True,False,0.9755119960713523,0.05487139371001927
True,True,0.4725194460578802,0.035704933503671925
False,False,0.043869584549963814,0.030360138112560064
True,False,0.8399147225615639,0.0566614196799263
True,True,0.7786812380406548,0.05141417831357935
False,False,0.819662069021284,0.05324211154579721
True,False,0.6297114748058297,0.04834868856075559
True,True,0.9417932810471169,0.06035758913140181
False,True,0.5614876085403842,0.039565646863957506
True,True,0.9292140706431794,0.05506060507909914
True,True,0.7475520471700686,0.04994041665537951
