items,users,damping,RMSE
False,False,0.3940895651633419,0.9437643638317362
False,False,0.25510984063101194,0.9440766226194052
True,True,0.9032195688724667,0.942055143720376
False,True,0.681498359842079,0.9422116327116833
False,True,0.4535206344452921,0.938160806004028
True,True,0.28681911808206906,0.9471915983522898
False,True,0.7807224974540166,0.9398028067373948
False,True,0.8610325554546029,0.9412013965054492
True,True,0.4767760362427408,0.9465312228072245
True,False,0.5672944491545917,0.9381558373164218
False,True,0.48327110984793387,0.9411608967248933
True,True,0.6841937246693648,0.9431332251403011
True,False,0.5706530410800863,0.9528518256268659
False,False,0.4960368032913658,0.9401903954560653
True,True,0.0387997258511551,0.9492717943342176
True,False,0.25206626485880246,0.9431698457777555
True,False,0.846420261268062,0.9391964957558334
True,True,0.16517930033891692,0.9420689028527972
False,False,0.4111578931980905,0.9496548710763453
False,True,0.8693148487636091,0.9404565856695175
True,False,0.6217045439651181,0.9327215076696124
True,False,0.6877480197860725,0.9508689407387562
True,False,0.5876689369287149,0.9403842580715198
True,False,0.5820495801902694,0.9399044607765201
True,False,0.3530958940037761,0.9427305215098943
True,False,0.9520829579392376,0.9409942939860579
True,False,0.7393188030574772,0.9419181637665951
True,False,0.572007373206895,0.9433694854143035
True,False,0.9925349126862688,0.9417080582561674
True,False,0.6439750652618479,0.9404763533457603
True,False,0.36637623772428013,0.9455505618293936
True,False,0.6298779912687354,0.9521029302089288
True,False,0.7862674578524383,0.9377411597686456
True,False,0.792968498880927,0.9482905502847803
True,False,0.9482170848380289,0.9390504508541246
True,False,0.7535506744500758,0.945008867505862
False,False,0.8092631723960455,0.9440141912687209
True,False,0.42791939580763366,0.9442062543432436
True,False,0.7294716951456726,0.9420771034101947
False,False,0.9265731790243958,0.9410343886096972
True,False,0.2987722972337873,0.9377576000949015
False,True,0.536349975766174,0.943325009980028
True,False,0.992013792942729,0.9348533577977353
True,True,0.0010535766580953565,0.9479221042598838
False,False,0.2301234871079828,0.9389874463466948
True,False,0.9926248554117053,0.9403896531086838
True,True,0.08135691971930237,0.9490602223000911
True,False,0.18169602242287258,0.939681282210404
False,False,0.5229987089663243,0.9415958005396579
True,True,0.8715504135834578,0.9417391764936978
True,False,0.11312962072031069,0.9467692665164861
False,True,0.832630543756244,0.9383743914822446
True,False,0.9000066757713101,0.9327235238108218
True,False,0.630544429539743,0.9347970527483567
True,False,0.8986835199738924,0.9459447545295434
False,True,0.4521785287178346,0.9403088344132294
True,False,0.7046355265037441,0.9496386048554477
True,False,0.6605013588042026,0.9349045432240256
True,True,0.3170505784127703,0.947500187594491
False,False,0.5318017863866948,0.9466347810648218
True,False,0.9000518570442022,0.9463486565728984
True,False,0.6052247343050762,0.945398552542143
True,False,0.3787402042481486,0.9482191932832675
True,True,0.4713864343146798,0.9325588499260811
False,True,0.4521742289120254,0.946666921630754
True,True,0.33694168849622835,0.9455987718794547
True,True,0.40861864603016995,0.9428335803916975
True,True,0.4891470738655643,0.9378943961790882
True,True,0.2710719932029968,0.9492174263220133
True,True,0.7628606676951211,0.9495844142353904
True,True,0.7160910888942285,0.9392794048184779
True,True,0.6030881802192603,0.9399807737626276
True,True,0.2098881155652167,0.9442351283589047
True,True,0.6648854174761616,0.9423936551948165
True,False,0.5476081154873425,0.9488566795850705
True,True,0.8179182273348821,0.9472957711025422
True,False,0.963477916122087,0.9287991550470904
True,False,0.1417228398722774,0.9430251493357793
True,True,0.9605681718983289,0.9496182993268569
True,False,0.5127030154774633,0.9386153960892237
True,False,0.47257292039282944,0.939927127194151
False,True,0.3877975796485817,0.9390019855157412
True,False,0.5551601108970661,0.9415110338836735
True,False,0.8582215801915841,0.9438839322582184
True,True,0.42379946971639476,0.9455884009105558
False,False,0.6841101489933834,0.9438984320180746
True,False,0.25015565105691545,0.9397517823088192
True,False,0.34522266467468876,0.936714661294329
True,True,0.03861577664289151,0.9464906254593536
False,False,0.7642429519605363,0.9431726448908913
True,False,0.932808190825719,0.940551358033491
True,True,0.310865798104409,0.9418030756683308
True,False,0.5808814257322387,0.9390174193855868
True,False,0.5050056764147726,0.93432587566001
False,True,0.6299421743994952,0.9480655531431722
True,False,0.9665238252758412,0.9383316689646471
True,True,0.6066917337071698,0.9467619882916845
True,False,0.19302544397932436,0.9427866840966052
True,False,0.707336493786554,0.9482709907625998
False,True,0.2806164162499816,0.9467245896330353
