features,learning rate,reg,F1,Precision,Recall
19.18980897,0.002091617,0.007382123,0.045060456,0.034900662,0.122537584
14.13124486,0.004839058,0.019968934,0.035783235,0.027975166,0.096253423
52.18773983,0.00494009,0.028468976,0.039084296,0.030157285,0.104461549
53.88307864,0.002436492,0.007525527,0.047350429,0.036405629,0.127279265
19.72486927,0.003998354,0.029311291,0.04021761,0.031344371,0.106665702
21.06916996,0.000852194,0.046962301,0.034766353,0.027801325,0.090362951
92.68211807,0.004561788,0.031598204,0.037463197,0.028869205,0.10120035
37.10121122,0.003192562,0.018590995,0.044908308,0.034706954,0.119428279
73.89621137,0.001017756,0.024976692,0.027593548,0.022451987,0.067417531
77.07097651,0.001445518,0.034127499,0.031697966,0.025294702,0.077793469
25.48523678,0.00403589,0.046596286,0.044280611,0.034011589,0.120219372
93.63730301,0.002441712,0.037462375,0.035354412,0.027456954,0.091882915
73.29052795,0.001971816,0.049514651,0.032850438,0.025731788,0.084357654
45.27809698,0.000982538,0.043374567,0.032988071,0.02642053,0.084044395
76.79987958,0.00361419,0.014152578,0.040190667,0.03094702,0.108127789
60.83517565,0.004380178,0.006953864,0.038594924,0.029928808,0.10315654
62.48829365,0.002902917,0.016151561,0.043632374,0.033667219,0.117688456
2.886984769,0.003455932,0.02650267,0.052067387,0.03975,0.143392864
78.35480717,0.001461072,0.037268381,0.030359296,0.02422351,0.074154058
17.46660229,0.004630908,0.047084927,0.040108487,0.031140728,0.106979439
1.531276551,0.003369211,0.011607853,0.054773003,0.040938742,0.156862957
3.392116763,0.003248532,0.02250556,0.0498824,0.038291391,0.137503157
1.432733652,0.003486758,0.011588811,0.054857579,0.041033113,0.156404611
7.743905262,0.003792492,0.011993794,0.04432893,0.034922185,0.116191799
30.32319118,0.002902074,0.011287525,0.04745799,0.036365894,0.130088404
9.796344527,0.00415688,0.005102338,0.040302442,0.031779801,0.106224471
36.39295607,0.002608462,0.011190316,0.048367145,0.037046358,0.131594087
2.992374423,0.003211527,0.017241301,0.052951221,0.040317881,0.144743604
28.47774314,0.002074967,0.021943738,0.050175134,0.03894702,0.13215059
12.18710986,0.003612481,0.008501262,0.039034994,0.03063245,0.103636325
39.83444112,0.001814721,0.014516562,0.050199617,0.039107616,0.129603074
1.104180734,0.00052415,0.019895465,0.049239327,0.037604305,0.135808837
15.61775544,0.002837622,0.00503297,0.038996076,0.0305,0.105350402
24.52968966,0.004263266,0.023798235,0.043270085,0.033365894,0.116135502
7.32491267,0.004969274,0.008977787,0.041825473,0.032985099,0.109134196
46.96256394,0.002331798,0.013588046,0.047479561,0.036824503,0.125140916
32.26341659,0.003842227,0.030777338,0.043678506,0.033639073,0.116916163
98.22064667,0.004784172,0.02032203,0.035922863,0.027764901,0.096353557
21.28340604,0.003053988,0.017254404,0.046682273,0.035897351,0.126999085
56.18758079,0.003450503,0.026780584,0.041724519,0.032193709,0.111233568
83.95173869,0.002688395,0.006700669,0.043167328,0.033490066,0.114839427
12.59527075,0.004397967,0.010409527,0.036519734,0.028781457,0.097460643
19.16501511,0.002255915,0.034231993,0.044506228,0.034807947,0.117177015
67.39462205,0.001682468,0.02881532,0.039221735,0.030850993,0.099445409
42.29940096,0.00394891,0.041293957,0.042914447,0.033001656,0.116290402
34.38603863,0.002524904,0.015559714,0.048321701,0.037339404,0.12895971
24.78774326,0.003336763,0.018865329,0.045728017,0.035218543,0.123952182
54.60208466,0.004651369,0.024254336,0.038609219,0.029809603,0.103949093
5.857042358,0.003703387,0.012913995,0.047677924,0.036794702,0.129351455
49.98450775,0.00301702,0.009457038,0.044471307,0.034266556,0.120452169
88.63814906,0.004083939,0.006483446,0.038795851,0.030124172,0.103731277
13.73508338,0.003487568,0.034200733,0.041162084,0.032248344,0.108561298
23.05917323,0.004463028,0.021423621,0.04227506,0.032756623,0.112576162
68.44831763,0.00117071,0.030681046,0.031241149,0.025066225,0.076647269
9.263885144,0.003078708,0.026074467,0.045942518,0.035961921,0.121374732
29.40028928,0.002217556,0.005098301,0.052059925,0.039895695,0.140946503
17.39396993,0.002733795,0.017982152,0.042614261,0.033486755,0.112394447
1.191471023,0.000610138,0.015308121,0.051660947,0.039594371,0.139663422
59.70159048,0.003946669,0.040401258,0.040568594,0.031157285,0.108762988
27.19672837,0.004196173,0.023123225,0.04332989,0.033476821,0.116657552
4.973325903,0.003361018,0.012650957,0.048616961,0.037567881,0.130856883
38.18534564,0.001868346,0.036239984,0.045168826,0.035190397,0.117124116
42.77532303,0.001422358,0.049304252,0.037805034,0.029789735,0.097020579
10.61578887,0.00475822,0.010247164,0.038579579,0.030369205,0.101377252
50.79961855,0.004304864,0.007199018,0.039200367,0.030390728,0.105242258
1.475622724,0.003652202,0.016664681,0.054388997,0.04064404,0.154501818
15.87280124,0.003613073,0.016617597,0.039227935,0.030683775,0.104585931
1.020129931,0.003830208,0.020641373,0.053872848,0.040213576,0.154386652
4.669983225,0.003204027,0.014398515,0.049204656,0.038043046,0.132236762
8.055351496,0.002874185,0.011687734,0.046078415,0.036288079,0.12035245
20.91074992,0.003515376,0.008278582,0.044503429,0.034157285,0.123276613
1.041470755,0.004552877,0.006209479,0.053820494,0.040238411,0.154295298
14.07305432,0.002436258,0.019562861,0.041296512,0.032543046,0.109063883
32.06118394,0.003750384,0.013265791,0.043450149,0.033241722,0.119986051
18.87206034,0.004054021,0.028033016,0.040546261,0.031640728,0.106141039
11.25762076,0.003138527,0.018281622,0.042359686,0.033266556,0.1127473
22.5950467,0.003335329,0.010295123,0.045846542,0.035215232,0.125246119
3.262521312,0.002938913,0.024720841,0.050572841,0.038837748,0.136980589
7.213968652,0.002806851,0.015163173,0.047057912,0.037069536,0.123152838
15.64315458,0.004894211,0.016495006,0.034373492,0.026844371,0.093263776
46.78813351,0.002372568,0.008052473,0.048543373,0.037334437,0.131675485
49.38817678,0.002415855,0.028820304,0.044614722,0.03467053,0.115968214
75.74459076,0.002947504,0.020912569,0.04144424,0.032036424,0.11046166
97.55477654,0.003726702,0.006689806,0.038299016,0.029769868,0.102725926
77.96698553,0.003283108,0.027003653,0.03977285,0.030624172,0.107573493
52.71594234,0.001814035,0.01945274,0.047511949,0.03713245,0.121289758
30.18846326,0.001291774,0.013403477,0.049780099,0.039061258,0.128970382
24.75623665,0.001810774,0.015376084,0.050265459,0.03894702,0.132872619
29.84309749,0.002464017,0.007002223,0.049965012,0.03831457,0.136097281
2.943254441,0.003906319,0.009946917,0.052344864,0.03993543,0.143296223
26.40491043,0.003116323,0.041908193,0.046199789,0.035642384,0.123942508
17.07494014,0.002170129,0.030450004,0.043482903,0.03427649,0.11341527
57.14554248,0.003620049,0.030019983,0.041746182,0.032147351,0.112629532
48.91857627,0.004878915,0.024816421,0.039321329,0.030375828,0.105941096
25.54325372,0.0032287,0.030398124,0.046055817,0.035466887,0.122756916
43.6184465,0.002978236,0.019432064,0.044163955,0.034258278,0.116754196
1.161846556,0.003487681,0.033459973,0.055086405,0.041109272,0.157292057
93.56649079,0.001664817,0.029666214,0.031953135,0.025344371,0.078546058
1.252428755,0.004320443,0.037656263,0.054032294,0.040397351,0.153397072
2.180258769,0.003644121,0.010235815,0.052369722,0.039923841,0.14365251
