features,learning rate,reg,RMSE
99.50277733,0.001308018,0.014047454,0.852731611
79.31093053,0.003551312,0.046545105,0.849120964
26.04340938,0.000939555,0.013803461,0.856896688
56.78462131,0.004586687,0.030155681,0.869823844
45.72339289,0.002805812,0.01393768,0.87916848
72.79909772,0.00317437,0.033022292,0.858303006
4.740437723,0.001229613,0.03219636,0.869243905
2.862550591,0.000755894,0.047482649,0.890617249
6.08642681,0.003535847,0.036359783,0.860470406
3.958792775,0.004854544,0.01619638,0.875262306
41.30319794,0.002734362,0.015607785,0.876840328
51.98054747,0.004347492,0.022822301,0.881605649
36.93012748,0.003983212,0.020856999,0.872345286
22.64291796,0.000527386,0.020923472,0.894678229
18.95957945,0.003262717,0.033585084,0.851712381
85.97205981,0.002551556,0.037652225,0.848353889
81.83595129,0.002724147,0.029252866,0.860474262
25.39952345,0.00194604,0.007255703,0.862481055
97.8411716,0.000774561,0.029303745,0.878597675
80.22991014,0.004853125,0.039960793,0.860107025
65.16251715,0.00202182,0.047731855,0.847095581
64.01813625,0.001897458,0.042275889,0.848213028
64.81099206,0.001925979,0.042955135,0.845459022
64.60513259,0.002039309,0.049507411,0.850074007
21.73080149,0.004488565,0.043366751,0.853034318
60.12765213,0.00157149,0.045055089,0.855206557
38.17056717,0.003233029,0.015547038,0.878979732
71.52100489,0.001606641,0.022215317,0.848242321
6.02226629,0.001343527,0.011634002,0.867224701
45.55878193,0.004178451,0.019840805,0.883246959
57.71156083,0.003481364,0.013130843,0.901249951
53.89892245,0.002989961,0.015069104,0.883839896
90.83188022,0.001702316,0.010760808,0.876946934
20.76190172,0.003211658,0.010678747,0.869058519
88.34662171,0.003105504,0.043801401,0.847319419
36.98292051,0.000839701,0.043678429,0.880884682
45.7958442,0.003480478,0.02372597,0.86824345
92.90569464,0.003121608,0.011522503,0.915725724
69.20477472,0.004400087,0.026838698,0.878562485
61.60575533,0.002939236,0.012249904,0.898507786
11.09398949,0.002917779,0.029562276,0.860503074
16.42298938,0.003832674,0.028624484,0.859373867
59.33144044,0.004747579,0.0164533,0.903059963
34.40523646,0.004069655,0.028210783,0.863191517
78.58944504,0.002268986,0.036596112,0.844087459
81.1823144,0.002290009,0.036574575,0.845844816
79.06637867,0.002345585,0.037039606,0.848029937
97.70489125,0.002380069,0.035443492,0.84703508
81.03881257,0.002371196,0.04909487,0.845459955
78.34497493,0.002047859,0.049847227,0.84989326
70.72464963,0.000796771,0.04971495,0.886964966
94.8495416,0.002591346,0.039501971,0.845240343
98.17015471,0.00116512,0.039591284,0.863095796
87.17421294,0.002608396,0.033557801,0.852291314
93.75179777,0.001983255,0.040279174,0.846206983
67.62542441,0.002696268,0.032257545,0.853784721
99.24177277,0.001829073,0.006374863,0.896748948
29.14404452,0.001336987,0.047322457,0.866364712
85.31475372,0.003499997,0.03907627,0.854024382
30.3708017,0.004490745,0.04929889,0.849103883
68.86057519,0.003287334,0.038603697,0.853914406
15.80241584,0.004065933,0.029347649,0.858625797
60.61950067,0.003022492,0.035734195,0.854106517
78.24693757,0.004186476,0.006417113,0.940132633
83.00583083,0.002413895,0.019645223,0.872442271
52.92023546,0.003847155,0.01576271,0.892779109
80.90459008,0.003476526,0.049153967,0.845877056
43.78547001,0.003413426,0.040944141,0.852112608
66.89427657,0.003875932,0.036988371,0.860002233
43.24919963,0.002635353,0.029288672,0.854953215
96.64420656,0.002623265,0.048811426,0.846998439
43.19044613,0.001366035,0.029408826,0.848824901
14.90163365,0.003194415,0.049488903,0.855124201
78.27315232,0.000865918,0.01365486,0.855522032
33.37672438,0.001534585,0.034361807,0.847560107
73.5375161,0.000556572,0.039592727,0.896368698
4.167985708,0.003753897,0.015048277,0.872859311
69.72020082,0.001247488,0.010879582,0.85508614
96.45226488,0.001225269,0.011513192,0.855749706
97.15156715,0.002079617,0.044960912,0.844981568
89.78451772,0.002108781,0.043900341,0.845708876
91.17457449,0.001925066,0.04450834,0.846767085
88.92181017,0.001995723,0.044715103,0.844665194
99.63491484,0.001843174,0.02397764,0.851558011
89.15167653,0.002141084,0.044418808,0.845499953
56.2513088,0.000880316,0.032610485,0.870503771
99.11743304,0.001675534,0.024317728,0.8469843
85.42903005,0.002144236,0.046687888,0.846618745
62.61505533,0.004988999,0.046253491,0.851140398
92.69140446,0.002399177,0.040765591,0.843806601
73.68848485,0.002903816,0.041159845,0.848214097
63.61966866,0.002386951,0.034054509,0.849818595
92.1442274,0.0046573,0.037454651,0.864291122
27.48506077,0.002859248,0.042240559,0.847524967
85.40937007,0.002397957,0.031680859,0.852038098
56.95783194,0.000893354,0.026017751,0.864631694
49.70565381,0.001666899,0.020262287,0.850757667
35.55993244,0.004367661,0.039339452,0.854350075
73.89178518,0.003109852,0.005168978,0.930009968
80.46018741,0.002664606,0.046886249,0.843035148
